feature,importance
endurance_margin_ratio,0.015943529790102495
write_iops_headroom_ratio,0.004824267018154638
drive_mtbf_hours,0.004596991190407351
read_requirement_to_drive_ratio,0.0036953601388767243
drive_random_write_iops_4k,0.003460749930071727
drive_random_read_iops_4k,0.001169509438971983
write_requirement_to_drive_ratio,0.0010352075404619354
raw_drive_power_w,0.0004071620844660062
performance_priority,0.0004019735211975295
read_iops_headroom_ratio,0.0003980388800683965
raw_provided_read_iops,0.000236208061122678
power_priority,0.00012847937657434194
cost_priority,0.00011365266525364959
capacity_headroom_ratio,8.33787695330157e-05
drive_pcie_gen,6.284733820760557e-05
drive_protocol,5.679686550663643e-05
count_by_read_iops,3.239116397690811e-05
drive_capacity_tib,3.224404397106362e-05
latency_margin,2.8931067844628622e-05
power_fraction,2.3858184185043818e-05
required_read_iops,9.367540959370757e-06
drive_endurance_dwpd,5.833969051405319e-06
drive_latency_class,4.773970479488021e-06
required_total_iops,7.478347960887533e-07
reliability_margin_ratio,3.7602572278139235e-08
drive_media_type,0.0
reliability_requirement,0.0
mdt_priority,0.0
count_by_write_iops,0.0
drive_warranty_years,0.0
count_by_capacity,0.0
drive_pcie_lanes,0.0
ha_required,0.0
max_power_w,-6.24241773827805e-08
max_budget_usd,-5.439982685429001e-07
required_metadata_capacity_tib,-1.1351299101791668e-06
capacity_requirement_to_drive_ratio,-2.4519767993780306e-06
reliability_priority,-3.1052655139585106e-05
raw_provided_write_iops,-3.151114086052953e-05
raw_drive_cost_usd,-4.112446628234956e-05
raw_minimum_drive_count,-9.30946423032264e-05
budget_fraction,-0.00013920220996344046
required_write_iops,-0.00014668792211347537
latency_requirement,-0.00015302452309451375
drive_power_w,-0.0002483472296352929
raw_provided_capacity_tib,-0.00028187159075276913
endurance_requirement,-0.0003597803317096915
drive_price_usd,-0.0004280510731208276
drive_form_factor,-0.00045484221331015817
