feature,importance
cost_priority,0.010616249510327913
drive_capacity_tib,0.009865222863163936
drive_power_w,0.008746564345700869
power_priority,0.007511818357932354
budget_fraction,0.005274897879085194
power_fraction,0.003524233357616202
drive_price_usd,0.0029932096750993065
drive_protocol,0.0027487286521972187
read_bandwidth_headroom_ratio,0.0027354959555450087
drive_seq_read_mb_s,0.0004676379733016267
raw_drive_power_w,0.0003489591221152999
drive_write_bandwidth_gbps,0.00021354586668431708
raw_provided_write_bandwidth_gbps,0.0002118650060688454
max_budget_usd,9.4737087295238e-05
access_pattern,7.816810747895975e-05
write_bandwidth_headroom_ratio,5.774471766772926e-05
drive_form_factor,5.429106619536661e-05
count_by_write_bandwidth,4.430011995915084e-05
read_requirement_to_drive_ratio,4.0958213383790465e-05
raw_provided_read_bandwidth_gbps,3.677511324950977e-05
drive_seq_write_mb_s,3.263468301972772e-05
raw_provided_capacity_tib,2.8220503969778044e-05
raw_drive_cost_usd,2.7488847047507647e-05
required_usable_capacity_tib,2.4040326946361823e-05
count_by_read_bandwidth,2.3779757944319968e-05
raw_minimum_drive_count,1.1192043614216551e-05
count_by_capacity,8.998292325701485e-06
capacity_requirement_to_drive_ratio,8.888444269050666e-06
drive_media_type,8.382453701716308e-06
drive_pcie_gen,6.853095745551485e-06
required_total_bandwidth_gbps,4.677495340388305e-06
capacity_headroom_ratio,4.565879401452477e-06
reliability_margin_ratio,2.7497305079560164e-06
required_write_bandwidth_gbps,7.494904323834817e-07
ost_priority,5.553004074343448e-07
required_read_bandwidth_gbps,5.325703684722072e-07
drive_pcie_lanes,0.0
drive_workload_rating_tb_per_year,0.0
ha_required,0.0
max_power_w,0.0
reliability_requirement,0.0
drive_recording_technology,0.0
throughput_requirement,0.0
drive_warranty_years,0.0
file_size_class,-2.738660875856169e-07
raw_provided_total_bandwidth_gbps,-2.1630429446473087e-06
drive_read_bandwidth_gbps,-8.796815810230285e-06
write_requirement_to_drive_ratio,-3.419818653849216e-05
reliability_priority,-3.67987402903891e-05
drive_mtbf_hours,-4.895870607357633e-05
performance_priority,-0.00022617813304637302
drive_rpm,-0.0002974058979356986
