case_id,status,mdt_candidate_count,ost_candidate_count,duration_seconds,error
REQ_000001,OK,10,10,2.341009,
REQ_000002,OK,10,10,0.152434,
REQ_000003,OK,10,10,0.11852,
REQ_000004,OK,10,10,0.104551,
REQ_000005,OK,10,10,0.153579,
REQ_000006,OK,10,10,0.120219,
REQ_000007,OK,10,10,0.124568,
REQ_000008,OK,10,10,0.060609,
REQ_000009,OK,10,10,0.106627,
REQ_000010,OK,10,10,0.104105,
REQ_000011,OK,10,10,0.095761,
REQ_000012,OK,10,10,0.113229,
REQ_000013,OK,10,10,0.095947,
REQ_000014,OK,10,10,0.101115,
REQ_000015,OK,10,10,0.118075,
REQ_000016,OK,10,10,0.095155,
REQ_000017,OK,10,10,0.059017,
REQ_000018,OK,10,10,0.118769,
REQ_000019,OK,10,10,0.096751,
REQ_000020,OK,10,10,0.085145,
REQ_000021,OK,10,10,0.064628,
REQ_000022,OK,10,10,0.101954,
REQ_000023,OK,10,10,0.097143,
REQ_000024,OK,10,10,0.116536,
REQ_000025,OK,10,10,0.123355,
REQ_000026,OK,10,10,0.143738,
REQ_000027,OK,10,10,0.107774,
REQ_000028,OK,10,10,0.112717,
REQ_000029,OK,10,10,0.10045,
REQ_000030,OK,10,10,0.103551,
REQ_000031,OK,10,10,0.108872,
REQ_000032,OK,10,10,0.11117,
REQ_000033,OK,10,10,0.130448,
REQ_000034,OK,10,10,0.149108,
REQ_000035,OK,10,10,0.066634,
REQ_000036,OK,10,10,0.103228,
REQ_000037,OK,10,10,0.061435,
REQ_000038,OK,10,10,0.088162,
REQ_000039,OK,10,10,0.089242,
REQ_000040,OK,10,4,0.080335,
REQ_000041,OK,10,10,0.096308,
REQ_000042,OK,10,10,0.104914,
REQ_000043,OK,10,10,0.100109,
REQ_000044,OK,10,10,0.136547,
REQ_000045,OK,10,10,0.111265,
REQ_000046,OK,10,10,0.089806,
REQ_000047,OK,10,10,0.099496,
REQ_000048,OK,10,10,0.096603,
REQ_000049,OK,10,10,0.117623,
REQ_000050,OK,10,10,0.109969,
REQ_000051,OK,10,10,0.118224,
REQ_000052,OK,10,10,0.124281,
REQ_000053,OK,10,10,0.123264,
REQ_000054,OK,10,10,0.123645,
REQ_000055,OK,10,10,0.112599,
REQ_000056,OK,10,10,0.068154,
REQ_000057,OK,10,10,0.108435,
REQ_000058,OK,10,10,0.116056,
REQ_000059,OK,10,10,0.084619,
REQ_000060,OK,10,10,0.123595,
REQ_000061,OK,10,10,0.10409,
REQ_000062,OK,10,10,0.10113,
REQ_000063,OK,10,10,0.134616,
REQ_000064,OK,10,10,0.098826,
REQ_000065,OK,10,10,0.126123,
REQ_000066,OK,10,10,0.114124,
REQ_000067,OK,10,10,0.131654,
REQ_000068,OK,10,10,0.131025,
REQ_000069,OK,10,10,0.168866,
REQ_000070,OK,10,10,0.111781,
REQ_000071,OK,10,10,0.124359,
REQ_000072,OK,10,10,0.15686,
REQ_000073,OK,10,10,0.122199,
REQ_000074,OK,10,10,0.122667,
REQ_000075,OK,10,10,0.200336,
REQ_000076,OK,10,10,0.079171,
REQ_000077,OK,10,10,0.126823,
REQ_000078,OK,10,10,0.169015,
REQ_000079,OK,10,10,0.099903,
REQ_000080,OK,10,10,0.138036,
REQ_000081,OK,10,10,0.146599,
REQ_000082,OK,10,10,0.092075,
REQ_000083,OK,10,10,0.1402,
REQ_000084,OK,10,10,0.109305,
REQ_000085,OK,10,10,0.108244,
