case_id,mdt_feasible_count,ost_feasible_count,mdt_topk_count,ost_topk_count,ost_pure_ml_overlap_count,ost_pure_ml_overlap_ratio,ost_pure_ml_jaccard,diversification_pool_size,maximum_specialized_ml_rank,pool_has_hdd,selected_has_hdd,pool_has_ssd,selected_has_ssd,deterministic,failure_count,failures
REQ_000001,148,137,10,10,7,0.7,0.53846154,40,40,True,True,True,True,True,0,
REQ_000002,176,90,10,10,8,0.8,0.66666667,40,21,True,True,True,True,True,0,
REQ_000003,176,76,10,10,8,0.8,0.66666667,40,39,True,True,True,True,True,0,
REQ_000004,148,53,10,10,8,0.8,0.66666667,40,14,True,True,False,False,True,0,
REQ_000005,148,119,10,10,7,0.7,0.53846154,40,18,True,True,True,True,True,0,
REQ_000006,148,78,10,10,7,0.7,0.53846154,40,34,True,True,True,True,True,0,
REQ_000007,148,154,10,10,9,0.9,0.81818182,40,30,True,True,True,True,True,0,
REQ_000008,48,41,10,10,7,0.7,0.53846154,40,30,True,True,True,True,True,0,
REQ_000009,176,90,10,10,7,0.7,0.53846154,40,21,True,True,False,False,True,0,
REQ_000010,176,73,10,10,7,0.7,0.53846154,40,37,True,True,True,True,True,0,
REQ_000011,176,51,10,10,9,0.9,0.81818182,40,31,True,True,True,True,True,0,
REQ_000012,176,108,10,10,7,0.7,0.53846154,40,37,True,True,True,True,True,0,
REQ_000013,176,48,10,10,9,0.9,0.81818182,40,20,True,True,False,False,True,0,
REQ_000014,148,64,10,10,8,0.8,0.66666667,40,32,True,True,True,True,True,0,
REQ_000015,176,120,10,10,9,0.9,0.81818182,40,25,True,True,True,True,True,0,
REQ_000016,148,75,10,10,8,0.8,0.66666667,40,37,True,True,True,True,True,0,
REQ_000017,48,48,10,10,9,0.9,0.81818182,40,38,True,True,False,False,True,0,
REQ_000018,176,119,10,10,9,0.9,0.81818182,40,21,True,True,True,True,True,0,
REQ_000019,148,79,10,10,9,0.9,0.81818182,40,19,True,True,True,True,True,0,
