id,config_path,sensitivity_level,perturbation,value,relative_percent,workload_type_flip_percent,metadata_pressure_flip_percent,data_pressure_flip_percent,planned_capacity_p95_abs_percent,mdt_iops_p95_abs_percent,mdt_metadata_capacity_p95_abs_percent,ost_read_p95_abs_percent,ost_write_p95_abs_percent,ost_capacity_p95_abs_percent
CAPACITY_FILL_RATIO_DEFAULT,capacity_planning.default_target_fill_ratio,MEDIUM,value=0.7,0.7,-12.5,1.8333,0.0,1.75,14.2857,0.0,0.0,0.0,0.0,14.2857
CAPACITY_FILL_RATIO_DEFAULT,capacity_planning.default_target_fill_ratio,MEDIUM,value=0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPACITY_FILL_RATIO_DEFAULT,capacity_planning.default_target_fill_ratio,MEDIUM,value=0.85,0.85,6.25,1.1667,0.0,1.1667,5.8824,0.0,0.0,0.0,0.0,5.8824
WORKLOAD_METADATA_FILE_COUNT_WEIGHT,score_weights.metadata.file_count,MEDIUM,-20%,0.4,-20.0,7.5,3.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_FILE_COUNT_WEIGHT,score_weights.metadata.file_count,MEDIUM,-10%,0.45,-10.0,3.3333,1.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_FILE_COUNT_WEIGHT,score_weights.metadata.file_count,MEDIUM,+0%,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_FILE_COUNT_WEIGHT,score_weights.metadata.file_count,MEDIUM,+10%,0.55,10.0,2.0833,0.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_FILE_COUNT_WEIGHT,score_weights.metadata.file_count,MEDIUM,+20%,0.6,20.0,3.5,0.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_SMALL_FILE_WEIGHT,score_weights.metadata.small_file_factor,MEDIUM,-20%,0.24,-20.0,2.0833,1.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_SMALL_FILE_WEIGHT,score_weights.metadata.small_file_factor,MEDIUM,-10%,0.27,-10.0,1.0833,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_SMALL_FILE_WEIGHT,score_weights.metadata.small_file_factor,MEDIUM,+0%,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_SMALL_FILE_WEIGHT,score_weights.metadata.small_file_factor,MEDIUM,+10%,0.33,10.0,2.3333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_SMALL_FILE_WEIGHT,score_weights.metadata.small_file_factor,MEDIUM,+20%,0.36,20.0,4.8333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_CLIENT_WEIGHT,score_weights.metadata.client_count,LOW,-20%,0.16,-20.0,1.25,0.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_CLIENT_WEIGHT,score_weights.metadata.client_count,LOW,-10%,0.18,-10.0,0.4167,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_CLIENT_WEIGHT,score_weights.metadata.client_count,LOW,+0%,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_CLIENT_WEIGHT,score_weights.metadata.client_count,LOW,+10%,0.22,10.0,0.8333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_METADATA_CLIENT_WEIGHT,score_weights.metadata.client_count,LOW,+20%,0.24,20.0,1.6667,1.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_CAPACITY_WEIGHT,score_weights.data.capacity,MEDIUM,-20%,0.32,-20.0,6.5833,0.0,4.5833,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_CAPACITY_WEIGHT,score_weights.data.capacity,MEDIUM,-10%,0.36,-10.0,3.5,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_CAPACITY_WEIGHT,score_weights.data.capacity,MEDIUM,+0%,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_CAPACITY_WEIGHT,score_weights.data.capacity,MEDIUM,+10%,0.44,10.0,1.9167,0.0,1.6667,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_CAPACITY_WEIGHT,score_weights.data.capacity,MEDIUM,+20%,0.48,20.0,4.9167,0.0,3.5833,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_BANDWIDTH_WEIGHT,score_weights.data.bandwidth,MEDIUM,-20%,0.32,-20.0,4.5,0.0,3.9167,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_BANDWIDTH_WEIGHT,score_weights.data.bandwidth,MEDIUM,-10%,0.36,-10.0,2.0833,0.0,1.3333,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_BANDWIDTH_WEIGHT,score_weights.data.bandwidth,MEDIUM,+0%,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_BANDWIDTH_WEIGHT,score_weights.data.bandwidth,MEDIUM,+10%,0.44,10.0,2.5,0.0,1.6667,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_BANDWIDTH_WEIGHT,score_weights.data.bandwidth,MEDIUM,+20%,0.48,20.0,6.75,0.0,3.1667,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_LARGE_FILE_WEIGHT,score_weights.data.large_file_factor,MEDIUM,-20%,0.16,-20.0,5.3333,0.0,1.4167,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_LARGE_FILE_WEIGHT,score_weights.data.large_file_factor,MEDIUM,-10%,0.18,-10.0,1.9167,0.0,0.8333,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_LARGE_FILE_WEIGHT,score_weights.data.large_file_factor,MEDIUM,+0%,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_LARGE_FILE_WEIGHT,score_weights.data.large_file_factor,MEDIUM,+10%,0.22,10.0,2.8333,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DATA_LARGE_FILE_WEIGHT,score_weights.data.large_file_factor,MEDIUM,+20%,0.24,20.0,4.5833,0.0,1.6667,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DOMINANCE_MARGIN,workload_classification.dominance_margin,MEDIUM,-20%,0.12,-20.0,9.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DOMINANCE_MARGIN,workload_classification.dominance_margin,MEDIUM,-10%,0.135,-10.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DOMINANCE_MARGIN,workload_classification.dominance_margin,MEDIUM,+0%,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DOMINANCE_MARGIN,workload_classification.dominance_margin,MEDIUM,+10%,0.165,10.0,3.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD_DOMINANCE_MARGIN,workload_classification.dominance_margin,MEDIUM,+20%,0.18,20.0,8.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDT_BASE_IOPS_PER_CLIENT,mdt_estimation.base_iops_per_client,HIGH,-20%,80.0,-20.0,0.0,0.0,0.0,0.0,20.0013,0.0,0.0,0.0,0.0
MDT_BASE_IOPS_PER_CLIENT,mdt_estimation.base_iops_per_client,HIGH,-10%,90.0,-10.0,0.0,0.0,0.0,0.0,10.0004,0.0,0.0,0.0,0.0
