role,case_id,candidate_count,ndcg_at_5,ndcg_at_10,top1_agreement,top3_overlap,recall_at_5,recall_at_10,top10_jaccard,predicted_top1_teacher_rank,predicted_top1_drive_id,teacher_top1_drive_id
mdt,REQ_000006,148,0.7178150281652717,0.6820599239343917,1,0.3333333333333333,0.4,0.3,0.17647058823529413,1,DRV_000085,DRV_000085
mdt,REQ_000008,48,0.29773814455114095,0.47929607220476644,0,0.0,0.2,0.7,0.5384615384615384,10,DRV_000085,DRV_000082
mdt,REQ_000013,176,0.5662164000695855,0.6623401494642248,0,0.3333333333333333,0.4,0.6,0.42857142857142855,2,DRV_000085,DRV_000031
mdt,REQ_000015,176,0.1798095700749118,0.19235998445778027,0,0.0,0.0,0.1,0.05263157894736842,6,DRV_000085,DRV_000030
mdt,REQ_000016,148,0.11622247303450178,0.4643229595237464,0,0.0,0.0,0.4,0.25,33,DRV_000085,DRV_000179
mdt,REQ_000020,148,0.3527306999052355,0.31632381611975,0,0.3333333333333333,0.2,0.1,0.05263157894736842,3,DRV_000085,DRV_000030
mdt,REQ_000031,176,0.26724018738480526,0.4946707803020352,0,0.0,0.2,0.6,0.42857142857142855,5,DRV_000023,DRV_000025
mdt,REQ_000033,148,0.7025660495821039,0.7724021327666643,1,0.3333333333333333,0.4,0.5,0.3333333333333333,1,DRV_000085,DRV_000085
mdt,REQ_000034,148,0.19505854865807967,0.21700183001148238,0,0.0,0.2,0.1,0.05263157894736842,4,DRV_000085,DRV_000030
mdt,REQ_000040,176,0.11622247303450178,0.14021485680179116,0,0.0,0.0,0.0,0.0,13,DRV_000085,DRV_000025
mdt,REQ_000045,176,0.19505854865807967,0.2074156716132828,0,0.0,0.0,0.1,0.05263157894736842,9,DRV_000085,DRV_000025
mdt,REQ_000051,176,0.11622247303450178,0.15067651108348806,0,0.0,0.0,0.0,0.0,54,DRV_000082,DRV_000031
mdt,REQ_000054,176,0.11622247303450178,0.12916063698045874,0,0.0,0.0,0.0,0.0,11,DRV_000085,DRV_000025
mdt,REQ_000059,148,0.11622247303450178,0.3201550693086335,0,0.0,0.0,0.3,0.17647058823529413,35,DRV_000085,DRV_000082
mdt,REQ_000062,148,0.11622247303450178,0.4294360131446662,0,0.0,0.0,0.3,0.17647058823529413,29,DRV_000085,DRV_000179
mdt,REQ_000064,176,0.21808102213923053,0.4147554240786107,0,0.0,0.2,0.3,0.17647058823529413,17,DRV_000085,DRV_000025
mdt,REQ_000074,148,0.28799701711735515,0.3343298138382975,0,0.0,0.4,0.5,0.3333333333333333,29,DRV_000085,DRV_000045
mdt,REQ_000076,48,0.13046630383018357,0.22638112206969455,0,0.0,0.0,0.4,0.25,12,DRV_000177,DRV_000059
mdt,REQ_000081,148,0.11622247303450178,0.3979976405957521,0,0.0,0.0,0.3,0.17647058823529413,29,DRV_000085,DRV_000179
mdt,REQ_000082,148,0.1753495297521852,0.3233189874535489,0,0.0,0.2,0.2,0.1111111111111111,4,DRV_000085,DRV_000030
mdt,REQ_000088,176,0.19505854865807967,0.1963614517919504,0,0.0,0.0,0.1,0.05263157894736842,6,DRV_000085,DRV_000025
mdt,REQ_000093,148,0.6159564258353103,0.6396391442819247,0,0.3333333333333333,0.4,0.5,0.3333333333333333,3,DRV_000085,DRV_000030
mdt,REQ_000096,176,0.07164344124574493,0.09272726327174553,0,0.0,0.0,0.0,0.0,65,DRV_000082,DRV_000030
mdt,REQ_000102,176,0.26544255033167613,0.2557717529475013,0,0.3333333333333333,0.2,0.1,0.05263157894736842,55,DRV_000082,DRV_000031
mdt,REQ_000103,48,0.4867017986192419,0.5755322938576327,0,0.6666666666666666,0.4,0.3,0.17647058823529413,3,DRV_000085,DRV_000087
mdt,REQ_000107,176,0.18067327990241377,0.22407172376693682,0,0.0,0.4,0.3,0.17647058823529413,42,DRV_000085,DRV_000023
mdt,REQ_000109,176,0.11622247303450178,0.36801633689539526,0,0.0,0.0,0.2,0.1111111111111111,17,DRV_000085,DRV_000025
mdt,REQ_000111,148,0.18067327990241377,0.5150438718768066,0,0.0,0.0,0.6,0.42857142857142855,25,DRV_000085,DRV_000179
mdt,REQ_000124,176,0.19505854865807967,0.21700183001148238,0,0.0,0.0,0.1,0.05263157894736842,6,DRV_000085,DRV_000025
mdt,REQ_000137,176,0.11622247303450178,0.23268268213407173,0,0.0,0.0,0.2,0.1111111111111111,50,DRV_000177,DRV_000025
mdt,REQ_000141,148,0.3127317483480637,0.47412637513465794,0,0.0,0.2,0.4,0.25,29,DRV_000085,DRV_000177
mdt,REQ_000142,176,0.11622247303450178,0.14320003387164248,0,0.0,0.0,0.1,0.05263157894736842,36,DRV_000177,DRV_000025
mdt,REQ_000144,176,0.3915678239716416,0.46804741393245347,0,0.0,0.2,0.5,0.3333333333333333,6,DRV_000085,DRV_000030
mdt,REQ_000145,176,0.19505854865807967,0.1869710620969327,0,0.0,0.0,0.1,0.05263157894736842,7,DRV_000085,DRV_000025
mdt,REQ_000153,176,0.2416691942350852,0.31897946116166814,0,0.0,0.2,0.5,0.3333333333333333,32,DRV_000087,DRV_000177
mdt,REQ_000162,148,0.3374817213220676,0.31677558727856403,0,0.3333333333333333,0.2,0.1,0.05263157894736842,3,DRV_000085,DRV_000030
mdt,REQ_000164,176,0.06428805069465134,0.06406892326204418,0,0.0,0.0,0.0,0.0,56,DRV_000177,DRV_000025
