role,case_id,candidate_count,ndcg_at_5,ndcg_at_10,top1_agreement,top3_overlap,recall_at_5,recall_at_10,top10_jaccard,predicted_top1_teacher_rank,predicted_top1_drive_id,teacher_top1_drive_id
mdt,REQ_000006,148,0.7025660495821039,0.6804510681304375,1,0.3333333333333333,0.4,0.3,0.17647058823529413,1,DRV_000085,DRV_000085
mdt,REQ_000008,48,0.29773814455114095,0.47929607220476644,0,0.0,0.2,0.7,0.5384615384615384,10,DRV_000085,DRV_000082
mdt,REQ_000013,176,0.5662164000695855,0.6402317098215601,0,0.3333333333333333,0.4,0.5,0.3333333333333333,2,DRV_000085,DRV_000031
mdt,REQ_000015,176,0.07164344124574493,0.09272726327174553,0,0.0,0.0,0.0,0.0,70,DRV_000082,DRV_000030
mdt,REQ_000016,148,0.11622247303450178,0.4842888699930527,0,0.0,0.0,0.5,0.3333333333333333,33,DRV_000085,DRV_000179
mdt,REQ_000020,148,0.2344765864698686,0.22013372156092986,0,0.3333333333333333,0.2,0.1,0.05263157894736842,17,DRV_000177,DRV_000030
mdt,REQ_000031,176,0.18067327990241377,0.2258227155339315,0,0.0,0.2,0.3,0.17647058823529413,28,DRV_000177,DRV_000025
mdt,REQ_000033,148,0.7025660495821039,0.7724021327666643,1,0.3333333333333333,0.4,0.5,0.3333333333333333,1,DRV_000085,DRV_000085
mdt,REQ_000034,148,0.19505854865807967,0.21700183001148238,0,0.0,0.2,0.1,0.05263157894736842,4,DRV_000085,DRV_000030
mdt,REQ_000040,176,0.09924604818371367,0.11594952153262368,0,0.0,0.0,0.0,0.0,41,DRV_000177,DRV_000025
mdt,REQ_000045,176,0.11622247303450178,0.1647159079746718,0,0.0,0.0,0.1,0.05263157894736842,39,DRV_000177,DRV_000025
mdt,REQ_000051,176,0.11622247303450178,0.15067651108348806,0,0.0,0.0,0.0,0.0,54,DRV_000082,DRV_000031
mdt,REQ_000054,176,0.11622247303450178,0.18532646400666164,0,0.0,0.0,0.1,0.05263157894736842,44,DRV_000102,DRV_000025
mdt,REQ_000059,148,0.11622247303450178,0.09777874570291437,0,0.0,0.0,0.0,0.0,35,DRV_000085,DRV_000082
mdt,REQ_000062,148,0.11622247303450178,0.41629046803555037,0,0.0,0.0,0.3,0.17647058823529413,29,DRV_000085,DRV_000179
mdt,REQ_000064,176,0.11622247303450178,0.15067651108348806,0,0.0,0.0,0.0,0.0,17,DRV_000085,DRV_000025
mdt,REQ_000074,148,0.28799701711735515,0.3343298138382975,0,0.0,0.4,0.5,0.3333333333333333,29,DRV_000085,DRV_000045
mdt,REQ_000076,48,0.08126447554543946,0.157017153139874,0,0.0,0.0,0.2,0.1111111111111111,12,DRV_000177,DRV_000059
mdt,REQ_000081,148,0.32970817319885176,0.48023017588210215,0,0.0,0.2,0.4,0.25,29,DRV_000085,DRV_000179
mdt,REQ_000082,148,0.3888352299165352,0.40747202654932513,0,0.0,0.4,0.3,0.17647058823529413,4,DRV_000085,DRV_000030
mdt,REQ_000088,176,0.19505854865807967,0.19548595590845305,0,0.0,0.0,0.1,0.05263157894736842,6,DRV_000085,DRV_000025
mdt,REQ_000093,148,0.40247072567096026,0.589458974550241,0,0.3333333333333333,0.2,0.4,0.25,3,DRV_000085,DRV_000030
mdt,REQ_000096,176,0.05639446266257706,0.08853002723439356,0,0.0,0.0,0.0,0.0,65,DRV_000082,DRV_000030
mdt,REQ_000102,176,0.07164344124574493,0.11317187278809564,0,0.0,0.0,0.0,0.0,55,DRV_000082,DRV_000031
mdt,REQ_000103,48,0.4867017986192419,0.6224690113373111,0,0.6666666666666666,0.4,0.4,0.25,3,DRV_000085,DRV_000087
mdt,REQ_000107,176,0.18067327990241377,0.33910562454533194,0,0.0,0.4,0.3,0.17647058823529413,42,DRV_000085,DRV_000023
mdt,REQ_000109,176,0.20771634453350896,0.3930298055632339,0,0.0,0.2,0.2,0.1111111111111111,17,DRV_000085,DRV_000025
mdt,REQ_000111,148,0.18067327990241377,0.5150438718768066,0,0.0,0.0,0.6,0.42857142857142855,25,DRV_000085,DRV_000179
mdt,REQ_000124,176,0.19505854865807967,0.21700183001148238,0,0.0,0.0,0.1,0.05263157894736842,6,DRV_000085,DRV_000025
mdt,REQ_000137,176,0.11622247303450178,0.12005317762930295,0,0.0,0.0,0.0,0.0,50,DRV_000177,DRV_000025
mdt,REQ_000141,148,0.4453862924445427,0.5421783161331534,0,0.0,0.4,0.6,0.42857142857142855,29,DRV_000085,DRV_000177
mdt,REQ_000142,176,0.08399706960054582,0.11358210790531019,0,0.0,0.0,0.0,0.0,36,DRV_000177,DRV_000025
mdt,REQ_000144,176,0.253180457588277,0.48012258024776744,0,0.0,0.2,0.5,0.3333333333333333,6,DRV_000085,DRV_000030
mdt,REQ_000145,176,0.06428805069465134,0.10698373340796474,0,0.0,0.0,0.0,0.0,28,DRV_000177,DRV_000025
mdt,REQ_000153,176,0.32741505492914413,0.3674924733022947,0,0.0,0.4,0.5,0.3333333333333333,6,DRV_000082,DRV_000177
mdt,REQ_000162,148,0.11622247303450178,0.18474444285044062,0,0.0,0.0,0.1,0.05263157894736842,17,DRV_000177,DRV_000030
mdt,REQ_000164,176,0.08126447554543946,0.08793746169475809,0,0.0,0.0,0.0,0.0,56,DRV_000177,DRV_000025
mdt,REQ_000174,176,0.11622247303450178,0.15067651108348806,0,0.0,0.0,0.0,0.0,40,DRV_000177,DRV_000030
mdt,REQ_000177,176,0.37024532223700424,0.5619131163124137,0,0.3333333333333333,0.2,0.4,0.25,3,DRV_000085,DRV_000031
mdt,REQ_000180,176,0.07680443522271284,0.08418519987176995,0,0.0,0.0,0.0,0.0,76,DRV_000082,DRV_000025
mdt,REQ_000193,176,0.383696663767043,0.36778201258395793,0,0.3333333333333333,0.4,0.4,0.25,8,DRV_000085,DRV_000025
mdt,REQ_000200,148,0.12530530985321564,0.15831796258912284,0,0.0,0.0,0.2,0.1111111111111111,99,DRV_000165,DRV_000085
mdt,REQ_000226,176,0.11622247303450178,0.17430206637287138,0,0.0,0.0,0.1,0.05263157894736842,22,DRV_000169,DRV_000025
mdt,REQ_000235,176,0.2053805366120155,0.22568578767427297,0,0.0,0.4,0.2,0.1111111111111111,21,DRV_000082,DRV_000023
mdt,REQ_000260,176,0.0,0.0,0,0.0,0.0,0.0,0.0,129,DRV_000102,DRV_000025
mdt,REQ_000263,176,0.11622247303450178,0.15067651108348806,0,0.0,0.0,0.0,0.0,38,DRV_000177,DRV_000025
mdt,REQ_000264,48,0.5413688150141988,0.49089554626533266,0,0.6666666666666666,0.4,0.4,0.25,3,DRV_000085,DRV_000087
mdt,REQ_000268,148,0.0366854437566826,0.19752308320553086,0,0.0,0.0,0.1,0.05263157894736842,73,DRV_000023,DRV_000177
mdt,REQ_000272,176,0.47584161318432544,0.500760499681829,0,0.3333333333333333,0.4,0.5,0.3333333333333333,2,DRV_000102,DRV_000025
mdt,REQ_000273,148,0.5295309563129029,0.5343967851132724,0,0.3333333333333333,0.4,0.3,0.17647058823529413,3,DRV_000085,DRV_000030
mdt,REQ_000300,176,0.09651345412860732,0.1340951813514895,0,0.0,0.0,0.0,0.0,20,DRV_000085,DRV_000025
