role,case_id,latency_requirement,latency_share_of_performance,endurance_requirement,endurance_share_of_reliability,read_iops_share,write_iops_share,performance_priority_raw,reliability_priority_raw,cost_priority_raw,power_priority_raw,performance_weight,latency_weight,endurance_weight,reliability_weight,cost_weight,power_weight,weight_sum
mdt,REQ_000006,low,0.35,medium,0.4,0.8,0.2,0.07,0.409,0.214,0.307,0.045500000000000006,0.0245,0.1636,0.24539999999999998,0.214,0.307,1.0
mdt,REQ_000008,very_low,0.5,high,0.55,0.6999998726611568,0.3000001273388431,0.192,0.17,0.328,0.31,0.096,0.096,0.09350000000000001,0.0765,0.328,0.31,1.0
mdt,REQ_000013,moderate,0.2,standard,0.25,0.8000005465735306,0.19999945342646946,0.003,0.408,0.335,0.254,0.0024000000000000002,0.0006000000000000001,0.102,0.306,0.335,0.254,1.0
mdt,REQ_000015,moderate,0.2,standard,0.25,0.8,0.2,0.372,0.36,0.034,0.234,0.29760000000000003,0.07440000000000001,0.09,0.27,0.034,0.234,1.0
mdt,REQ_000016,low,0.35,medium,0.4,0.600000192754735,0.39999980724526496,0.291,0.116,0.211,0.382,0.18914999999999998,0.10184999999999998,0.046400000000000004,0.0696,0.211,0.382,1.0
mdt,REQ_000020,moderate,0.2,medium,0.4,0.60001043677921,0.39998956322079005,0.432,0.212,0.17,0.186,0.3456,0.0864,0.0848,0.12719999999999998,0.17,0.186,1.0
mdt,REQ_000031,moderate,0.2,standard,0.25,0.8,0.2,0.412,0.09,0.066,0.432,0.3296,0.0824,0.0225,0.0675,0.066,0.432,1.0
mdt,REQ_000033,low,0.35,medium,0.4,0.6,0.4,0.068,0.395,0.294,0.243,0.0442,0.0238,0.15800000000000003,0.237,0.294,0.243,1.0
mdt,REQ_000034,moderate,0.2,medium,0.4,0.6,0.4,0.39,0.474,0.116,0.02,0.31200000000000006,0.07800000000000001,0.1896,0.2844,0.116,0.02,1.0
mdt,REQ_000040,moderate,0.2,standard,0.25,0.7,0.3,0.43,0.144,0.103,0.323,0.34400000000000003,0.08600000000000001,0.036,0.10799999999999998,0.103,0.323,1.0
mdt,REQ_000045,moderate,0.2,standard,0.25,0.8999985055816525,0.10000149441834748,0.303,0.323,0.148,0.226,0.2424,0.0606,0.08075,0.24225000000000002,0.148,0.226,1.0
mdt,REQ_000051,moderate,0.2,standard,0.25,0.8,0.2,0.529,0.104,0.11,0.257,0.4232,0.1058,0.026,0.078,0.11,0.257,1.0
mdt,REQ_000054,moderate,0.2,standard,0.25,0.89999477124183,0.10000522875816993,0.049,0.259,0.327,0.365,0.039200000000000006,0.009800000000000001,0.06475,0.19425,0.327,0.365,1.0
